year,term,time,sales
7,3,2016-05-27,295
7,3,2016-05-28,104
7,3,2016-05-29,70
7,3,2016-05-30,51
7,3,2016-05-31,63
7,3,2016-06-01,41
7,3,2016-06-02,587
7,3,2016-06-03,907
7,3,2016-06-04,543
7,3,2016-06-05,356
7,3,2016-06-06,403
7,3,2016-06-07,310
7,3,2016-06-08,294
7,3,2016-06-09,221
7,3,2016-06-10,212
7,3,2016-06-11,299
7,3,2016-06-12,467
7,3,2016-06-13,539
7,3,2016-06-14,292
7,3,2016-06-15,311
7,3,2016-06-16,264
7,3,2016-06-17,410
7,3,2016-06-18,534
7,3,2016-06-19,558
7,3,2016-06-20,718
7,3,2016-06-21,687
7,3,2016-06-22,702
7,3,2016-06-23,946
7,3,2016-06-24,1001
7,3,2016-06-25,1535
7,3,2016-06-26,2408
7,3,2016-06-27,3483
7,3,2016-06-28,47
7,3,2016-06-29,34
7,3,2016-06-30,28
7,3,2016-07-01,633
7,3,2016-07-02,220
7,3,2016-07-03,156
7,3,2016-07-04,178
7,3,2016-07-05,179
7,3,2016-07-06,148
7,3,2016-07-07,136
7,3,2016-07-08,137
7,3,2016-07-09,225
7,3,2016-07-10,261
7,3,2016-07-11,280
7,3,2016-07-12,225
7,3,2016-07-13,187
7,3,2016-07-14,198
7,3,2016-07-15,213
7,3,2016-07-16,328
7,3,2016-07-17,434
7,3,2016-07-18,374
7,3,2016-07-19,397
7,3,2016-07-20,300
7,3,2016-07-21,366
7,3,2016-07-22,498
7,3,2016-07-23,645
7,3,2016-07-24,411
7,3,2016-07-25,348
7,3,2016-07-26,369
7,3,2016-07-27,358
7,3,2016-07-28,401
7,3,2016-07-29,508
7,3,2016-07-30,356
7,3,2016-07-31,625
7,3,2016-08-01,481
7,3,2016-08-02,418
7,3,2016-08-03,514
7,3,2016-08-04,674
7,3,2016-08-05,425
7,3,2016-08-06,452
7,3,2016-08-07,487
7,3,2016-08-08,544
7,3,2016-08-09,626
7,3,2016-08-10,750
7,3,2016-08-11,552
7,3,2016-08-12,587
7,3,2016-08-13,668
7,3,2016-08-14,597
7,3,2016-08-15,699
7,3,2016-08-16,728
7,3,2016-08-17,595
7,3,2016-08-18,593
7,3,2016-08-19,680
7,3,2016-08-20,634
7,3,2016-08-21,688
7,3,2016-08-22,881
7,3,2016-08-23,694
7,3,2016-08-24,763
7,3,2016-08-25,767
7,3,2016-08-26,714
7,3,2016-08-27,788
7,3,2016-08-28,924
7,3,2016-08-29,1038
7,3,2016-08-30,860
7,3,2016-08-31,848
7,3,2016-09-01,806
7,3,2016-09-02,1056
7,3,2016-09-03,1547
7,3,2016-09-04,1901
7,3,2016-09-05,1875
7,3,2016-09-06,302
7,3,2016-09-07,351
7,3,2016-09-08,390
7,3,2016-09-09,563
7,3,2016-09-10,614
7,3,2016-09-11,460
7,3,2016-09-12,241
7,3,2016-09-13,212
7,3,2016-09-14,225
7,3,2016-09-15,206
7,3,2016-09-16,278
7,3,2016-09-17,274
7,3,2016-09-18,185
7,3,2016-09-19,177
7,3,2016-09-20,206
7,3,2016-09-21,148
7,3,2016-09-22,164
7,3,2016-09-23,237
7,3,2016-09-24,258
7,3,2016-09-25,261
7,3,2016-09-26,155
7,3,2016-09-27,123
7,3,2016-09-28,141
7,3,2016-09-29,132
7,3,2016-09-30,141
7,3,2016-10-01,158
7,3,2016-10-02,120
7,3,2016-10-03,83
7,3,2016-10-04,101
7,3,2016-10-05,115
7,3,2016-10-06,127
7,3,2016-10-07,161
7,3,2016-10-08,125
7,3,2016-10-09,135
7,3,2016-10-10,157
7,3,2016-10-11,178
7,3,2016-10-12,158
7,3,2016-10-13,161
7,3,2016-10-14,229
7,3,2016-10-15,274
7,3,2016-10-16,231
7,3,2016-10-17,135
7,3,2016-10-18,140
7,3,2016-10-19,150
7,3,2016-10-20,135
7,3,2016-10-21,201
7,3,2016-10-22,246
7,3,2016-10-23,210
7,3,2016-10-24,118
7,3,2016-10-25,105
7,3,2016-10-26,110
7,3,2016-10-27,119
7,3,2016-10-28,152
7,3,2016-10-29,181
7,3,2016-10-30,207
7,3,2016-10-31,228
7,3,2016-11-03,1
7,3,2016-11-06,1
7,3,2016-11-11,1
7,3,2016-11-12,1
7,3,2016-11-17,1
7,3,2016-11-18,3
